Sample	CETOMP_3meses
Comments	CETOMP_3meses
Filename	C:\Windmax\Data\Olimpia\CETOMP_3meses.raw
Goniometer	Ultima IV
Attachment	Standard Att.
Monochromater	Fixed Monochro.(U4)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
DivSlit	2/3 deg.
DivH.L.Slit	10mm
SctSlit	2/3 deg.
RecSlit	0.3mm
Monochro RS	No Use
K-beta filter	
Start	5
Stop	35
Step	0.02
Speed	1
Offset	0
5	99
5.02	87
5.04	85
5.06	75
5.08	112
5.1	77
5.12	106
5.14	84
5.16	101
5.18	97
5.2	93
5.22	96
5.24	82
5.26	98
5.28	85
5.3	99
5.32	94
5.34	89
5.36	92
5.38	99
5.4	93
5.42	97
5.44	97
5.46	98
5.48	85
5.5	90
5.52	78
5.54	105
5.56	93
5.58	89
5.6	111
5.62	78
5.64	80
5.66	108
5.68	109
5.7	87
5.72	101
5.74	96
5.76	99
5.78	106
5.8	108
5.82	101
5.84	119
5.86	117
5.88	120
5.9	118
5.92	147
5.94	129
5.96	174
5.98	175
6	179
6.02	194
6.04	192
6.06	203
6.08	269
6.1	312
6.12	343
6.14	359
6.16	417
6.18	527
6.2	558
6.22	634
6.24	657
6.26	624
6.28	621
6.3	518
6.32	385
6.34	284
6.36	204
6.38	152
6.4	106
6.42	94
6.44	81
6.46	99
6.48	86
6.5	80
6.52	76
6.54	70
6.56	69
6.58	70
6.6	83
6.62	82
6.64	75
6.66	74
6.68	71
6.7	61
6.72	53
6.74	71
6.76	81
6.78	73
6.8	84
6.82	72
6.84	61
6.86	74
6.88	79
6.9	69
6.92	69
6.94	54
6.96	75
6.98	74
7	75
7.02	85
7.04	74
7.06	84
7.08	71
7.1	74
7.12	59
7.14	88
7.16	68
7.18	77
7.2	73
7.22	80
7.24	66
7.26	71
7.28	53
7.3	61
7.32	61
7.34	58
7.36	63
7.38	65
7.4	74
7.42	71
7.44	75
7.46	73
7.48	58
7.5	57
7.52	78
7.54	61
7.56	74
7.58	61
7.6	60
7.62	49
7.64	74
7.66	74
7.68	73
7.7	79
7.72	54
7.74	74
7.76	54
7.78	79
7.8	53
7.82	76
7.84	61
7.86	72
7.88	55
7.9	76
7.92	56
7.94	81
7.96	80
7.98	56
8	61
8.02	62
8.04	66
8.06	55
8.08	53
8.1	62
8.12	59
8.14	50
8.16	70
8.18	70
8.2	63
8.22	69
8.24	49
8.26	61
8.28	54
8.3	68
8.32	58
8.34	65
8.36	56
8.38	66
8.4	71
8.42	54
8.44	66
8.46	58
8.48	68
8.5	65
8.52	66
8.54	59
8.56	60
8.58	60
8.6	58
8.62	64
8.64	58
8.66	79
8.68	73
8.7	65
8.72	61
8.74	64
8.76	69
8.78	62
8.8	58
8.82	65
8.84	66
8.86	54
8.88	54
8.9	74
8.92	58
8.94	61
8.96	64
8.98	56
9	68
9.02	60
9.04	62
9.06	69
9.08	59
9.1	59
9.12	55
9.14	71
9.16	60
9.18	70
9.2	72
9.22	58
9.24	52
9.26	64
9.28	61
9.3	48
9.32	64
9.34	55
9.36	65
9.38	64
9.4	52
9.42	72
9.44	64
9.46	62
9.48	61
9.5	67
9.52	67
9.54	66
9.56	65
9.58	57
9.6	65
9.62	50
9.64	66
9.66	60
9.68	61
9.7	70
9.72	68
9.74	60
9.76	70
9.78	60
9.8	63
9.82	70
9.84	58
9.86	57
9.88	58
9.9	65
9.92	68
9.94	68
9.96	61
9.98	60
10	72
10.02	57
10.04	60
10.06	83
10.08	66
10.1	55
10.12	54
10.14	59
10.16	59
10.18	73
10.2	75
10.22	77
10.24	64
10.26	73
10.28	60
10.3	49
10.32	53
10.34	85
10.36	47
10.38	61
10.4	73
10.42	63
10.44	64
10.46	55
10.48	77
10.5	56
10.52	55
10.54	54
10.56	59
10.58	64
10.6	83
10.62	68
10.64	59
10.66	55
10.68	50
10.7	72
10.72	74
10.74	53
10.76	64
10.78	48
10.8	51
10.82	61
10.84	57
10.86	61
10.88	59
10.9	63
10.92	52
10.94	71
10.96	73
10.98	64
11	58
11.02	73
11.04	63
11.06	49
11.08	68
11.1	81
11.12	69
11.14	62
11.16	77
11.18	74
11.2	79
11.22	73
11.24	71
11.26	65
11.28	70
11.3	75
11.32	82
11.34	78
11.36	91
11.38	51
11.4	69
11.42	78
11.44	57
11.46	71
11.48	71
11.5	66
11.52	62
11.54	73
11.56	66
11.58	72
11.6	74
11.62	65
11.64	74
11.66	68
11.68	63
11.7	48
11.72	62
11.74	59
11.76	68
11.78	59
11.8	70
11.82	74
11.84	67
11.86	65
11.88	79
11.9	56
11.92	70
11.94	71
11.96	74
11.98	71
12	65
12.02	75
12.04	65
12.06	58
12.08	61
12.1	69
12.12	82
12.14	59
12.16	70
12.18	62
12.2	68
12.22	58
12.24	65
12.26	67
12.28	68
12.3	53
12.32	79
12.34	69
12.36	72
12.38	67
12.4	68
12.42	65
12.44	71
12.46	69
12.48	63
12.5	71
12.52	71
12.54	77
12.56	79
12.58	73
12.6	59
12.62	65
12.64	82
12.66	86
12.68	84
12.7	92
12.72	111
12.74	119
12.76	123
12.78	112
12.8	139
12.82	147
12.84	165
12.86	151
12.88	191
12.9	208
12.92	233
12.94	242
12.96	284
12.98	329
13	390
13.02	411
13.04	466
13.06	464
13.08	411
13.1	402
13.12	362
13.14	316
13.16	206
13.18	161
13.2	148
13.22	136
13.24	100
13.26	90
13.28	79
13.3	80
13.32	69
13.34	82
13.36	70
13.38	80
13.4	69
13.42	72
13.44	82
13.46	73
13.48	66
13.5	73
13.52	71
13.54	67
13.56	73
13.58	83
13.6	83
13.62	60
13.64	80
13.66	75
13.68	63
13.7	83
13.72	66
13.74	62
13.76	67
13.78	52
13.8	71
13.82	75
13.84	80
13.86	96
13.88	73
13.9	92
13.92	81
13.94	83
13.96	88
13.98	112
14	108
14.02	116
14.04	116
14.06	132
14.08	163
14.1	207
14.12	227
14.14	302
14.16	363
14.18	449
14.2	600
14.22	724
14.24	932
14.26	1013
14.28	1078
14.3	1171
14.32	1109
14.34	980
14.36	899
14.38	775
14.4	573
14.42	434
14.44	308
14.46	226
14.48	168
14.5	143
14.52	141
14.54	101
14.56	99
14.58	81
14.6	90
14.62	85
14.64	86
14.66	88
14.68	92
14.7	79
14.72	73
14.74	88
14.76	82
14.78	88
14.8	73
14.82	86
14.84	77
14.86	78
14.88	92
14.9	69
14.92	73
14.94	78
14.96	84
14.98	77
15	65
15.02	75
15.04	82
15.06	79
15.08	90
15.1	98
15.12	98
15.14	88
15.16	106
15.18	90
15.2	78
15.22	93
15.24	91
15.26	92
15.28	72
15.3	84
15.32	78
15.34	98
15.36	75
15.38	81
15.4	84
15.42	94
15.44	69
15.46	89
15.48	78
15.5	87
15.52	92
15.54	83
15.56	85
15.58	78
15.6	70
15.62	79
15.64	82
15.66	75
15.68	76
15.7	94
15.72	73
15.74	95
15.76	87
15.78	83
15.8	84
15.82	95
15.84	87
15.86	86
15.88	101
15.9	108
15.92	94
15.94	111
15.96	102
15.98	114
16	123
16.02	127
16.04	157
16.06	181
