Sample	CET_SMPT_SAC_5
Comments	CET_SMPT_SAC_5
Filename	C:\WINDMAX\DATA\PERSON\CET_SMPT_SAC_5.raw
Goniometer	Ultima IV
Attachment	Standard Att.
Monochromater	Fixed Monochro.(U4)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
DivSlit	2/3 deg.
DivH.L.Slit	10mm
SctSlit	2/3 deg.
RecSlit	0.3mm
Monochro RS	No Use
K-beta filter	
Start	5
Stop	35
Step	0.02
Speed	1
Offset	0
5	53
5.02	66
5.04	60
5.06	50
5.08	53
5.1	60
5.12	59
5.14	62
5.16	66
5.18	69
5.2	56
5.22	49
5.24	54
5.26	70
5.28	73
5.3	57
5.32	58
5.34	52
5.36	61
5.38	51
5.4	59
5.42	49
5.44	54
5.46	51
5.48	63
5.5	50
5.52	61
5.54	52
5.56	59
5.58	60
5.6	62
5.62	42
5.64	47
5.66	53
5.68	63
5.7	54
5.72	56
5.74	68
5.76	54
5.78	55
5.8	43
5.82	62
5.84	61
5.86	67
5.88	52
5.9	46
5.92	55
5.94	57
5.96	61
5.98	63
6	65
6.02	64
6.04	65
6.06	74
6.08	56
6.1	80
6.12	73
6.14	94
6.16	134
6.18	125
6.2	130
6.22	98
6.24	93
6.26	64
6.28	64
6.3	65
6.32	58
6.34	45
6.36	43
6.38	62
6.4	53
6.42	57
6.44	60
6.46	59
6.48	58
6.5	61
6.52	59
6.54	81
6.56	64
6.58	64
6.6	70
6.62	78
6.64	66
6.66	80
6.68	58
6.7	56
6.72	48
6.74	57
6.76	56
6.78	64
6.8	51
6.82	45
6.84	53
6.86	52
6.88	55
6.9	52
6.92	50
6.94	59
6.96	42
6.98	51
7	49
7.02	53
7.04	42
7.06	54
7.08	46
7.1	43
7.12	41
7.14	35
7.16	42
7.18	35
7.2	58
7.22	40
7.24	55
7.26	37
7.28	54
7.3	39
7.32	43
7.34	38
7.36	36
7.38	51
7.4	53
7.42	40
7.44	41
7.46	42
7.48	41
7.5	53
7.52	45
7.54	48
7.56	52
7.58	41
7.6	51
7.62	46
7.64	40
7.66	42
7.68	35
7.7	46
7.72	50
7.74	41
7.76	54
7.78	40
7.8	36
7.82	39
7.84	44
7.86	49
7.88	35
7.9	47
7.92	50
7.94	60
7.96	41
7.98	52
8	55
8.02	47
8.04	47
8.06	49
8.08	46
8.1	46
8.12	65
8.14	36
8.16	52
8.18	37
8.2	36
8.22	47
8.24	43
8.26	44
8.28	45
8.3	35
8.32	39
8.34	43
8.36	44
8.38	42
8.4	37
8.42	47
8.44	50
8.46	46
8.48	39
8.5	54
8.52	54
8.54	50
8.56	50
